miRNA,clinical_variable,correlation,p_value,partial_correlation,partial_p_value,q_value,partial_q_value,is_significant,correlation_strength
mir146a,plaque_index,0.6092098317203053,2.6327540982135532e-12,0.5282765635767466,5.8850621128333575e-9,4.936413934150412e-12,1.1035990425271105e-8,TRUE,Moderate
mir146a,gingival_index,0.582529452635963,3.751888122645827e-11,0.5073197718863628,2.857878592807603e-8,6.253146871076378e-11,4.512439883380426e-8,TRUE,Moderate
mir146a,pocket_depth,0.4990992294491216,3.841838619936228e-8,0.4837810700225133,1.492126501808313e-7,4.8022982749202846e-8,2.0347179570113357e-7,TRUE,Weak
mir146a,bleeding_on_probing,0.6262123911104889,4.2367017249050487e-13,0.5029399877407162,3.92391128711379e-8,8.473403449810097e-13,5.8858669306706847e-8,TRUE,Moderate
mir146a,number_of_missing_teeth,0.09484680363779704,0.3288609666073149,-0.09068132050980723,0.3552479453672025,0.3288609666073149,0.426297534440643,FALSE,Very Weak
mir146b,plaque_index,0.6336534624199182,1.8380819119299224e-13,0.5510197171156356,9.336546706974678e-10,4.595204779824806e-13,2.8009640120924035e-9,TRUE,Moderate
mir146b,gingival_index,0.6337498458967395,1.8180383910566078e-13,0.5639695728750448,3.072429535872468e-10,4.595204779824806e-13,1.1521610759521755e-9,TRUE,Moderate
mir146b,pocket_depth,0.515875047294787,1.1044755203166544e-8,0.41336663238272103,1.0625207220903425e-5,1.4406202438912884e-8,1.3281509026129282e-5,TRUE,Moderate
mir146b,bleeding_on_probing,0.666381631937917,3.51508168997107e-15,0.5559544808186091,6.14723917483457e-10,2.6363112674783025e-14,2.0490797249448565e-9,TRUE,Moderate
mir146b,number_of_missing_teeth,0.13834858608021947,0.1533186006627323,-0.018205042512792615,0.853052286757414,0.15860544896144724,0.8824678828524972,FALSE,Very Weak
mir155,plaque_index,0.6059966569831787,3.673469040869805e-12,0.5463820487786399,1.3743440378074129e-9,6.482592425064362e-12,3.4358600945185324e-9,TRUE,Moderate
mir155,gingival_index,0.6456704737831562,4.545243326100046e-14,0.5809384008946484,6.646124176289028e-11,1.7044662472875172e-13,4.984593132216771e-10,TRUE,Moderate
mir155,pocket_depth,0.5780017081610439,5.751942711038897e-11,0.5656564902415405,2.6488692184384766e-10,9.082014806903521e-11,1.1352296650450614e-9,TRUE,Moderate
mir155,bleeding_on_probing,0.7058966459419493,1.4439564089275238e-17,0.6341152817521537,2.943861127940755e-13,2.1659346133912857e-16,8.831583383822265e-12,TRUE,Strong
mir155,number_of_missing_teeth,0.17623057591086747,0.06808589046795614,0.007966201326773684,0.9354054743935549,0.07565098940884016,0.9354054743935549,FALSE,Very Weak
mir203,plaque_index,0.6756933157048841,1.0394957362519655e-15,0.5864237545783968,3.97518972966803e-11,1.0394957362519654e-14,3.9751897296680305e-10,TRUE,Moderate
mir203,gingival_index,0.6573487210037622,1.100126276817224e-14,0.5282748218137524,5.885861560144589e-9,5.50063138408612e-14,1.1035990425271105e-8,TRUE,Moderate
mir203,pocket_depth,0.6365533399607641,1.3193642296882794e-13,0.5897240862874634,2.9042796480705763e-11,3.9580926890648384e-13,3.9751897296680305e-10,TRUE,Moderate
mir203,bleeding_on_probing,0.7082836119639457,1.0063517433280151e-17,0.5488807787443446,1.1167242500050925e-9,2.1659346133912857e-16,3.0456115909229793e-9,TRUE,Strong
mir203,number_of_missing_teeth,0.18873050707746838,0.05044871121483072,-0.036328476435454136,0.7115971966202757,0.058210051401727754,0.7906635518003063,FALSE,Very Weak
mir223,plaque_index,0.6307716139617582,2.546694831790196e-13,0.5672481464125962,2.3011434786925973e-10,5.87698807336199e-13,1.1352296650450614e-9,TRUE,Moderate
mir223,gingival_index,0.5673222362796572,1.536185289517359e-10,0.4829944285516901,1.5735261226797612e-7,2.3042779342760384e-10,2.052425377408384e-7,TRUE,Moderate
mir223,pocket_depth,0.5417153350697682,1.4115084046165288e-9,0.4910156320601781,9.097426892761943e-8,1.9247841881134482e-9,1.299632413251706e-7,TRUE,Moderate
mir223,bleeding_on_probing,0.6290572695096781,3.0868939262178393e-13,0.5177451527414836,1.3195647714182787e-8,6.614772699038227e-13,2.3286437142675505e-8,TRUE,Moderate
mir223,number_of_missing_teeth,0.16932202825549678,0.07980075201732076,-0.024254972655497344,0.8050664041224969,0.08550080573284367,0.8625711472741038,FALSE,Very Weak
mir381p,plaque_index,0.6530332738979734,1.871778493272136e-14,0.5723448591192684,1.4589328590367267e-10,8.021907828309153e-14,8.753597154220361e-10,TRUE,Moderate
mir381p,gingival_index,0.6366537968149111,1.3042144469525458e-13,0.5355008745925125,3.32793886270775e-9,3.9580926890648384e-13,7.241018232504647e-9,TRUE,Moderate
mir381p,pocket_depth,0.542419196398682,1.3313090381905793e-9,0.5099977161329999,2.3491266937938115e-8,1.9018700545579705e-9,3.9152111563230195e-8,TRUE,Moderate
mir381p,bleeding_on_probing,0.663247782643602,5.245417454086509e-15,0.5353095747418555,3.379141841835502e-9,3.1472504724519057e-14,7.241018232504647e-9,TRUE,Moderate
mir381p,number_of_missing_teeth,0.23300236129241622,0.015234500111010301,0.04763532296350732,0.6277501041545668,0.01828140013321236,0.7243270432552693,TRUE,Very Weak
