Feature,Importance,Problem
pocket_depth,0.2851903377336635,Gingivitis_vs_Periodontitis
bleeding_on_probing,0.2560649578491402,Gingivitis_vs_Periodontitis
RQ_mir203,0.1497219607554709,Gingivitis_vs_Periodontitis
RQ_mir155,0.07264748386057923,Gingivitis_vs_Periodontitis
RQ_mir223,0.061484674615221786,Gingivitis_vs_Periodontitis
RQ_mir381p,0.05487146210475336,Gingivitis_vs_Periodontitis
gingival_index,0.04326651524251015,Gingivitis_vs_Periodontitis
plaque_index,0.021619893547294655,Gingivitis_vs_Periodontitis
number_of_missing_teeth,0.021188790221661605,Gingivitis_vs_Periodontitis
RQ_mir146b,0.017376801452412927,Gingivitis_vs_Periodontitis
RQ_mir146a,0.016567122617291815,Gingivitis_vs_Periodontitis
