,AGE,plaque_index,gingival_index,pocket_depth,bleeding_on_probing,number_of_missing_teeth,RQ_mir146a,RQ_mir146b,RQ_mir155,RQ_mir203,RQ_mir223,RQ_mir381p
AGE,1.0,0.37381451652738784,0.36970841543658334,0.5990194007337729,0.5549070660591788,0.32258739534011355,0.2716293841849065,0.3637259868794063,0.29439808097901177,0.36288874128930976,0.42452947495906657,0.32993858768829293
plaque_index,0.37381451652738784,1.0,0.8602009826297208,0.7206203697693795,0.8425129236715696,0.220673296898976,0.5090622414101321,0.5602989604810023,0.5666994143594353,0.5910467257744362,0.5922827592391192,0.5546434294049714
gingival_index,0.36970841543658334,0.8602009826297208,1.0,0.7087161961603234,0.8794428798399265,0.1907347567791343,0.4666910684538176,0.5434474321969395,0.5757646070760584,0.5158791428942622,0.511775092889673,0.5234028601307277
pocket_depth,0.5990194007337729,0.7206203697693795,0.7087161961603234,1.0,0.8161314842392077,0.3341378950837212,0.479807964088427,0.4781639211058304,0.5994670519338393,0.5854191984865805,0.5440894606216959,0.5246302809859597
bleeding_on_probing,0.5549070660591788,0.8425129236715696,0.8794428798399265,0.8161314842392077,1.0,0.23262041745887893,0.4763367473866593,0.573064548307464,0.641126814790086,0.5372083972845134,0.570636447171635,0.5401748555873287
number_of_missing_teeth,0.32258739534011355,0.220673296898976,0.1907347567791343,0.3341378950837212,0.23262041745887893,1.0,-0.010423962171707888,0.12751695773105667,0.0887261475555918,0.069778042118281,0.12842853225848447,0.12678512788108626
RQ_mir146a,0.2716293841849065,0.5090622414101321,0.4666910684538176,0.479807964088427,0.4763367473866593,-0.010423962171707888,1.0,0.7842992310957321,0.7108163730106957,0.7834285670253069,0.7986626311107945,0.668020709591753
RQ_mir146b,0.3637259868794063,0.5602989604810023,0.5434474321969395,0.4781639211058304,0.573064548307464,0.12751695773105667,0.7842992310957321,1.0,0.6900184399179187,0.7179605025535865,0.7600341629656824,0.6304695406974328
RQ_mir155,0.29439808097901177,0.5666994143594353,0.5757646070760584,0.5994670519338393,0.641126814790086,0.0887261475555918,0.7108163730106957,0.6900184399179187,1.0,0.6957421896526959,0.699808747079313,0.6318872139205599
RQ_mir203,0.36288874128930976,0.5910467257744362,0.5158791428942622,0.5854191984865805,0.5372083972845134,0.069778042118281,0.7834285670253069,0.7179605025535865,0.6957421896526959,1.0,0.7827426939032166,0.7213168613284271
RQ_mir223,0.42452947495906657,0.5922827592391192,0.511775092889673,0.5440894606216959,0.570636447171635,0.12842853225848447,0.7986626311107945,0.7600341629656824,0.699808747079313,0.7827426939032166,1.0,0.6678029869885403
RQ_mir381p,0.32993858768829293,0.5546434294049714,0.5234028601307277,0.5246302809859597,0.5401748555873287,0.12678512788108626,0.668020709591753,0.6304695406974328,0.6318872139205599,0.7213168613284271,0.6678029869885403,1.0
