Feature,Importance,Problem
pocket_depth,12.098144301141751,Gingivitis_vs_Periodontitis
bleeding_on_probing,7.545844229904942,Gingivitis_vs_Periodontitis
RQ_mir203,3.9590305664447243,Gingivitis_vs_Periodontitis
RQ_mir155,1.8056386926592873,Gingivitis_vs_Periodontitis
RQ_mir381p,1.0144995509545207,Gingivitis_vs_Periodontitis
RQ_mir223,0.6779886601809808,Gingivitis_vs_Periodontitis
gingival_index,0.3828943734862388,Gingivitis_vs_Periodontitis
RQ_mir146a,0.34810544853870395,Gingivitis_vs_Periodontitis
plaque_index,0.2716667476459768,Gingivitis_vs_Periodontitis
RQ_mir146b,0.27120614260115894,Gingivitis_vs_Periodontitis
number_of_missing_teeth,0.09663645885550921,Gingivitis_vs_Periodontitis
